,Timing
2022-06-30,0.0
2022-07-01,0.0
2022-07-05,0.0
2022-07-06,0.0
2022-07-07,0.0
2022-07-08,0.0
2022-07-11,0.0
2022-07-12,0.0
2022-07-13,0.0
2022-07-14,0.0
2022-07-15,0.0
2022-07-18,0.0
2022-07-19,0.0
2022-07-20,0.0
2022-07-21,0.0
2022-07-22,0.0
2022-07-25,0.0
2022-07-26,0.0
2022-07-27,0.0
2022-07-28,0.0
2022-07-29,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.0
2022-08-04,0.0
2022-08-05,0.0
2022-08-08,0.0
2022-08-09,0.0
2022-08-10,0.0
2022-08-11,0.0
2022-08-12,0.0
2022-08-15,0.0
2022-08-16,0.0
2022-08-17,0.0
2022-08-18,0.0
2022-08-19,0.0
2022-08-22,0.0
2022-08-23,0.0
2022-08-24,0.0
2022-08-25,0.0
2022-08-26,0.0
2022-08-29,0.0
2022-08-30,0.0
2022-08-31,0.0
2022-09-01,0.0
2022-09-02,0.0
2022-09-06,0.0
2022-09-07,0.0
2022-09-08,0.0
2022-09-09,0.0
2022-09-12,0.0
2022-09-13,-0.024253112781524644
2022-09-14,-0.020062213275909402
2022-09-15,-0.04863672332382196
2022-09-16,-0.04863672332382196
2022-09-19,-0.04863672332382196
2022-09-20,-0.04863672332382196
2022-09-21,-0.04863672332382196
2022-09-22,-0.04863672332382196
2022-09-23,-0.04863672332382196
2022-09-26,-0.04863672332382196
2022-09-27,-0.04863672332382196
2022-09-28,-0.04863672332382196
2022-09-29,-0.04863672332382196
2022-09-30,-0.04863672332382196
2022-10-03,-0.04863672332382196
2022-10-04,-0.04863672332382196
2022-10-05,-0.053905519710540695
2022-10-06,-0.047983188022613366
2022-10-07,-0.037989285900115854
2022-10-10,-0.04872343291091907
2022-10-11,-0.062418857540130546
2022-10-12,-0.062418857540130546
2022-10-13,-0.062418857540130546
2022-10-14,-0.08103875186347953
2022-10-17,-0.08103875186347953
2022-10-18,-0.08103875186347953
2022-10-19,-0.08103875186347953
2022-10-20,-0.08103875186347953
2022-10-21,-0.08103875186347953
2022-10-24,-0.08103875186347953
2022-10-25,-0.08103875186347953
2022-10-26,-0.08103875186347953
2022-10-27,-0.07960059785270668
2022-10-28,-0.09038639104270918
2022-10-31,-0.0969071021461484
2022-11-01,-0.10085848642349204
2022-11-02,-0.10808526852798428
2022-11-03,-0.10877857420158354
2022-11-04,-0.07862078927040062
2022-11-07,-0.0844322965488431
2022-11-08,-0.0875226804599758
2022-11-09,-0.10232110230445823
2022-11-10,-0.08459756745338398
2022-11-11,-0.07697845195388742
2022-11-14,-0.08242970150756779
2022-11-15,-0.07529754060363714
2022-11-16,-0.07846064124298036
2022-11-17,-0.0866338934936518
2022-11-18,-0.0902607431716913
2022-11-21,-0.09324637019348092
2022-11-22,-0.08542001956176704
2022-11-23,-0.08148427549743598
2022-11-25,-0.08218745488738965
2022-11-28,-0.08691739368438678
2022-11-29,-0.0898211161270136
2022-11-30,-0.07603879247283885
2022-12-01,-0.06579864378547629
2022-12-02,-0.06592072934913584
2022-12-05,-0.07976276333808852
2022-12-06,-0.07806875703620864
2022-12-07,-0.06893259530830331
2022-12-08,-0.06886749900245615
2022-12-09,-0.07756073332405033
2022-12-12,-0.07573778288459732
2022-12-13,-0.065733802698135
2022-12-14,-0.0661572615985867
2022-12-15,-0.07431079664039575
2022-12-16,-0.07819473175239522
2022-12-19,-0.08671526922035189
2022-12-20,-0.08927799619483923
2022-12-21,-0.08864270030403121
2022-12-22,-0.09475527923774707
2022-12-23,-0.0996397161884306
2022-12-27,-0.10555699487495407
2022-12-28,-0.10864366416358928
2022-12-29,-0.10365413120460498
2022-12-30,-0.10682234963417048
