,Timing
2022-06-30,100.0
2022-07-01,100.0
2022-07-05,100.0
2022-07-06,100.0
2022-07-07,100.0
2022-07-08,100.0
2022-07-11,100.0
2022-07-12,100.0
2022-07-13,100.0
2022-07-14,100.0
2022-07-15,100.0
2022-07-18,100.0
2022-07-19,100.0
2022-07-20,100.0
2022-07-21,100.0
2022-07-22,100.0
2022-07-25,100.0
2022-07-26,100.0
2022-07-27,100.0
2022-07-28,100.0
2022-07-29,100.0
2022-08-01,100.0
2022-08-02,100.0
2022-08-03,100.0
2022-08-04,100.0
2022-08-05,100.0
2022-08-08,100.0
2022-08-09,100.0
2022-08-10,100.0
2022-08-11,100.0
2022-08-12,100.0
2022-08-15,100.0
2022-08-16,100.0
2022-08-17,100.0
2022-08-18,100.0
2022-08-19,100.0
2022-08-22,100.0
2022-08-23,100.0
2022-08-24,100.0
2022-08-25,100.0
2022-08-26,100.0
2022-08-29,100.0
2022-08-30,100.0
2022-08-31,100.0
2022-09-01,100.0
2022-09-02,100.0
2022-09-06,100.0
2022-09-07,100.0
2022-09-08,100.0
2022-09-09,100.0
2022-09-12,100.0
2022-09-13,97.57468872184754
2022-09-14,97.99377867240906
2022-09-15,95.1363276676178
2022-09-16,95.1363276676178
2022-09-19,95.1363276676178
2022-09-20,95.1363276676178
2022-09-21,95.1363276676178
2022-09-22,95.1363276676178
2022-09-23,95.1363276676178
2022-09-26,95.1363276676178
2022-09-27,95.1363276676178
2022-09-28,95.1363276676178
2022-09-29,95.1363276676178
2022-09-30,95.1363276676178
2022-10-03,95.1363276676178
2022-10-04,95.1363276676178
2022-10-05,94.60944802894593
2022-10-06,95.20168119773867
2022-10-07,96.20107140998842
2022-10-10,95.12765670890809
2022-10-11,93.75811424598695
2022-10-12,93.75811424598695
2022-10-13,93.75811424598695
2022-10-14,91.89612481365205
2022-10-17,91.89612481365205
2022-10-18,91.89612481365205
2022-10-19,91.89612481365205
2022-10-20,91.89612481365205
2022-10-21,91.89612481365205
2022-10-24,91.89612481365205
2022-10-25,91.89612481365205
2022-10-26,91.89612481365205
2022-10-27,92.03994021472933
2022-10-28,90.96136089572909
2022-10-31,90.30928978538516
2022-11-01,89.9141513576508
2022-11-02,89.19147314720158
2022-11-03,89.12214257984165
2022-11-04,92.13792107295994
2022-11-07,91.5567703451157
2022-11-08,91.24773195400242
2022-11-09,89.76788976955417
2022-11-10,91.5402432546616
2022-11-11,92.30215480461126
2022-11-14,91.75702984924322
2022-11-15,92.47024593963629
2022-11-16,92.15393587570196
2022-11-17,91.33661065063482
2022-11-18,90.97392568283087
2022-11-21,90.67536298065191
2022-11-22,91.4579980438233
2022-11-23,91.8515724502564
2022-11-25,91.78125451126104
2022-11-28,91.30826063156132
2022-11-29,91.01788838729864
2022-11-30,92.39612075271612
2022-12-01,93.42013562145237
2022-12-02,93.40792706508641
2022-12-05,92.02372366619115
2022-12-06,92.19312429637914
2022-12-07,93.10674046916967
2022-12-08,93.11325009975438
2022-12-09,92.24392666759496
2022-12-12,92.42622171154026
2022-12-13,93.4266197301865
2022-12-14,93.38427384014133
2022-12-15,92.56892033596043
2022-12-16,92.18052682476048
2022-12-19,91.32847307796482
2022-12-20,91.07220038051608
2022-12-21,91.13572996959688
2022-12-22,90.5244720762253
2022-12-23,90.03602838115694
2022-12-27,89.4443005125046
2022-12-28,89.13563358364107
2022-12-29,89.6345868795395
2022-12-30,89.31776503658295
