,Timing
2022-06-30,1000000.0
2022-07-01,1000000.0
2022-07-05,1000000.0
2022-07-06,1000000.0
2022-07-07,1000000.0
2022-07-08,1000000.0
2022-07-11,1000000.0
2022-07-12,1000000.0
2022-07-13,1000000.0
2022-07-14,1000000.0
2022-07-15,1000000.0
2022-07-18,1000000.0
2022-07-19,1000000.0
2022-07-20,1000000.0
2022-07-21,1000000.0
2022-07-22,1000000.0
2022-07-25,1000000.0
2022-07-26,1000000.0
2022-07-27,1000000.0
2022-07-28,1000000.0
2022-07-29,1000000.0
2022-08-01,1000000.0
2022-08-02,1000000.0
2022-08-03,1000000.0
2022-08-04,1000000.0
2022-08-05,1000000.0
2022-08-08,1000000.0
2022-08-09,1000000.0
2022-08-10,1000000.0
2022-08-11,1000000.0
2022-08-12,1000000.0
2022-08-15,1000000.0
2022-08-16,1000000.0
2022-08-17,1000000.0
2022-08-18,1000000.0
2022-08-19,1000000.0
2022-08-22,1000000.0
2022-08-23,1000000.0
2022-08-24,1000000.0
2022-08-25,1000000.0
2022-08-26,1000000.0
2022-08-29,1000000.0
2022-08-30,1000000.0
2022-08-31,1000000.0
2022-09-01,1000000.0
2022-09-02,1000000.0
2022-09-06,1000000.0
2022-09-07,1000000.0
2022-09-08,1000000.0
2022-09-09,1000000.0
2022-09-12,1000000.0
2022-09-13,975746.8872184753
2022-09-14,979937.7867240906
2022-09-15,951363.2766761781
2022-09-16,951363.2766761781
2022-09-19,951363.2766761781
2022-09-20,951363.2766761781
2022-09-21,951363.2766761781
2022-09-22,951363.2766761781
2022-09-23,951363.2766761781
2022-09-26,951363.2766761781
2022-09-27,951363.2766761781
2022-09-28,951363.2766761781
2022-09-29,951363.2766761781
2022-09-30,951363.2766761781
2022-10-03,951363.2766761781
2022-10-04,951363.2766761781
2022-10-05,946094.4802894593
2022-10-06,952016.8119773866
2022-10-07,962010.7140998841
2022-10-10,951276.5670890809
2022-10-11,937581.1424598694
2022-10-12,937581.1424598694
2022-10-13,937581.1424598694
2022-10-14,918961.2481365205
2022-10-17,918961.2481365205
2022-10-18,918961.2481365205
2022-10-19,918961.2481365205
2022-10-20,918961.2481365205
2022-10-21,918961.2481365205
2022-10-24,918961.2481365205
2022-10-25,918961.2481365205
2022-10-26,918961.2481365205
2022-10-27,920399.4021472932
2022-10-28,909613.6089572908
2022-10-31,903092.8978538517
2022-11-01,899141.513576508
2022-11-02,891914.7314720158
2022-11-03,891221.4257984165
2022-11-04,921379.2107295995
2022-11-07,915567.703451157
2022-11-08,912477.3195400243
2022-11-09,897678.8976955417
2022-11-10,915402.4325466161
2022-11-11,923021.5480461126
2022-11-14,917570.2984924322
2022-11-15,924702.4593963629
2022-11-16,921539.3587570196
2022-11-17,913366.1065063482
2022-11-18,909739.2568283087
2022-11-21,906753.6298065191
2022-11-22,914579.980438233
2022-11-23,918515.724502564
2022-11-25,917812.5451126104
2022-11-28,913082.6063156133
2022-11-29,910178.8838729864
2022-11-30,923961.2075271611
2022-12-01,934201.3562145238
2022-12-02,934079.2706508641
2022-12-05,920237.2366619115
2022-12-06,921931.2429637914
2022-12-07,931067.4046916966
2022-12-08,931132.5009975438
2022-12-09,922439.2666759497
2022-12-12,924262.2171154027
2022-12-13,934266.1973018651
2022-12-14,933842.7384014133
2022-12-15,925689.2033596043
2022-12-16,921805.2682476048
2022-12-19,913284.7307796482
2022-12-20,910722.0038051609
2022-12-21,911357.2996959687
2022-12-22,905244.7207622529
2022-12-23,900360.2838115693
2022-12-27,894443.0051250459
2022-12-28,891356.3358364106
2022-12-29,896345.868795395
2022-12-30,893177.6503658296
