date,ticker,signal,weight
1/17/2024,WDC,1,0.3333
1/17/2024,ESS,1,0.3333
1/17/2024,GOOGL,1,0.3333
1/19/2024,DIS,1,0.3333
1/19/2024,GPC,1,0.3333
1/19/2024,PYPL,1,0.3333
1/22/2024,GPC,1,0.5
1/22/2024,PYPL,1,0.5
1/23/2024,LKQ,1,0.5
1/23/2024,DIS,1,0.5
1/24/2024,GIS,1,0.5
1/24/2024,HSY,1,0.5
1/25/2024,MTCH,1,0.3333
1/25/2024,CAG,1,0.3333
1/25/2024,ILMN,1,0.3333
1/26/2024,APTV,1,0.25
1/26/2024,VFC,1,0.25
1/26/2024,CTLT,1,0.25
1/26/2024,CVX,1,0.25
1/29/2024,VFC,1,0.3333
1/29/2024,HAS,1,0.3333
1/29/2024,OXY,1,0.3333
1/30/2024,VFC,1,0.3333
1/30/2024,HSY,1,0.3333
1/30/2024,EL,1,0.3333
1/31/2024,GIS,1,0.25
1/31/2024,APA,1,0.25
1/31/2024,OXY,1,0.25
1/31/2024,DVN,1,0.25
2/1/2024,GIS,1,0.25
2/1/2024,HSY,1,0.25
2/1/2024,HAS,1,0.25
2/1/2024,CTLT,1,0.25
2/2/2024,NEM,1,0.3333
2/2/2024,HUBB,1,0.3333
2/2/2024,FOX,1,0.3333
2/5/2024,DGX,1,0.3333
2/5/2024,CTRA,1,0.3333
2/5/2024,EW,1,0.3333
2/6/2024,CVS,1,0.3333
2/6/2024,CTAS,1,0.3333
2/6/2024,EIX,1,0.3333
2/7/2024,SBAC,1,0.3333
2/7/2024,PARA,1,0.3333
2/7/2024,GM,1,0.3333
2/8/2024,IEX,1,0.2
2/8/2024,GM,1,0.2
2/8/2024,CTVA,1,0.2
2/8/2024,PARA,1,0.2
2/8/2024,EMR,1,0.2
2/9/2024,PEP,1,0.3333
2/9/2024,CVS,1,0.3333
2/9/2024,HST,1,0.3333
2/12/2024,FRT,1,0.3333
2/12/2024,BLK,1,0.3333
2/12/2024,ZBH,1,0.3333
2/14/2024,V,1,0.2
2/14/2024,HAL,1,0.2
2/14/2024,EMR,1,0.2
2/14/2024,DVA,1,0.2
2/14/2024,HST,1,0.2
2/15/2024,EQT,1,0.25
2/15/2024,V,1,0.25
2/15/2024,LHX,1,0.25
2/15/2024,BIIB,1,0.25
2/16/2024,ADM,1,0.3333
2/16/2024,APA,1,0.3333
2/16/2024,DVA,1,0.3333
2/20/2024,PEP,1,0.25
2/20/2024,BLK,1,0.25
2/20/2024,ADM,1,0.25
2/20/2024,DVA,1,0.25
2/21/2024,PEP,1,0.3333
2/21/2024,ADM,1,0.3333
2/21/2024,DVA,1,0.3333
2/22/2024,ALB,1,1
2/23/2024,HPQ,1,0.3333
2/23/2024,MRNA,1,0.3333
2/23/2024,UNP,1,0.3333
2/26/2024,HPQ,1,0.25
2/26/2024,PEP,1,0.25
2/26/2024,BLK,1,0.25
2/26/2024,AEE,1,0.25
2/27/2024,HPQ,1,0.3333
2/27/2024,ALB,1,0.3333
2/27/2024,MOH,1,0.3333
2/28/2024,HPQ,1,0.25
2/28/2024,ALB,1,0.25
2/28/2024,APD,1,0.25
2/28/2024,DVA,1,0.25
2/29/2024,BLK,1,0.25
2/29/2024,CHD,1,0.25
2/29/2024,PYPL,1,0.25
2/29/2024,DVA,1,0.25
3/1/2024,FLT.V,1,1
3/4/2024,ADM,1,0.3333
3/4/2024,ALB,1,0.3333
3/4/2024,DVA,1,0.3333
3/5/2024,FLT.V,1,0.3333
3/5/2024,AWK,1,0.3333
3/5/2024,NEE,1,0.3333
3/6/2024,APA,1,0.5
3/6/2024,APD,1,0.5
3/7/2024,PFE,1,0.3333
3/7/2024,HST,1,0.3333
3/7/2024,MOH,1,0.3333
3/8/2024,ADM,1,0.3333
3/8/2024,MOH,1,0.3333
3/8/2024,NDSN,1,0.3333
3/11/2024,PFE,1,0.5
3/11/2024,APA,1,0.5
3/12/2024,PANW,1,0.25
3/12/2024,PFE,1,0.25
3/12/2024,CHRW,1,0.25
3/12/2024,APA,1,0.25
3/13/2024,BLK,1,0.3333
3/13/2024,PARA,1,0.3333
3/13/2024,APA,1,0.3333
3/14/2024,APTV,1,0.25
3/14/2024,PANW,1,0.25
